ReNamn;Företag;Gruppnamn;RE;StartHour;EndHour;StartMonth;EndMonth;Hur de tar ut abonnerad effekt/höglast;Källa;Kommentar
REL00615;E.ON Energidistribution AB;Syd & Mellersta;REL00615Syd & Mellersta;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00615;E.ON Energidistribution AB;;REL00615;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00615;E.ON Energidistribution AB;Syd & Mellersta;REL00615Syd & Mellersta;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00615;E.ON Energidistribution AB;Syd & Mellersta;REL00615Syd & Mellersta;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00615;E.ON Energidistribution AB;Syd & Mellersta;REL00615Syd & Mellersta;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00957;E.ON Energidistribution AB;Nord;REL00957Nord;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00957;E.ON Energidistribution AB;;REL00957;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00957;E.ON Energidistribution AB;;REL00957;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL03018;E.ON Energidistribution AB;;REL03018;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL03028;E.ON Energidistribution AB;Syd & Mellersta;REL03028Syd & Mellersta;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL03028;E.ON Energidistribution AB;Stockholm;REL03028Stockholm;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL03028;E.ON Energidistribution AB;Norr;REL03028Norr;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00026;Edsbyns Elnät AB;;REL00026;-;-;-;-;;;Edsbyn har övergått till ellevio
REL00027;Ekerö Energi AB;;REL00027;-;-;-;-;;;Ekerö har övergått till ellevio
REL00030;Eksjö Elnät AB;;REL00030;6;20;11;3;"Medelvärde av de 3 högsta topparna; under november-mars vardagar 6-20 utefter höglast. April-oktober utefter låglasttaxa (alla timmar)";https://eksjoenergi.se/elnat/effekttariff/;
REL00028;Ellevio AB;;REL00028;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00050;Ellevio AB;;REL00050;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00051;Ellevio AB;;REL00051;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00053;Ellevio AB;;REL00053;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00054;Ellevio AB;;REL00054;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00055;Ellevio AB;;REL00055;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
